,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
9745,569684101197910016,negative,1.0,Customer Service Issue,1.0,US Airways,,KOstrowka,,0,@USAirways I've been on hold for 90 minutes. This is terrible customer service. You messed up my reservation! http://t.co/oyLgeao7Y8,,2015-02-22 18:24:08 -0800,"Raleigh, NC",Eastern Time (US & Canada)
13100,569940582572945409,negative,1.0,Flight Booking Problems,0.3652,American,,dgoot,,0,@AmericanAir How can I get a flight change while in the air? Delays causing a missed connection again. There is 1 seat for Late Flightr,,2015-02-23 11:23:18 -0800,"Boston, MA",Mountain Time (US & Canada)
1826,569567685719101440,negative,1.0,Customer Service Issue,0.6659,United,,Eivind_G,,0,"@united When my United flight arrives Late Flight and I'm told to re-book my connecting United flight, you characterize that as a ""no show""","[29.98707518, -95.33783524]",2015-02-22 10:41:32 -0800,"Stavanger, Norway",
5801,568587228353585154,negative,1.0,Late Flight,1.0,Southwest,,kgLate Flightshow10,,0,"@SouthwestAir Dear SWA, I fly you a lot.   Most of the time, amazing. Today: unacceptable.I am sitting here in Midway delayed 20 min....",,2015-02-19 17:45:33 -0800,'Zona,
967,569986029463011328,negative,1.0,Customer Service Issue,1.0,United,,dfpietra,,0,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology,,2015-02-23 14:23:53 -0800,"West Hollywood, CA",
11779,567763065706250240,negative,1.0,Flight Booking Problems,0.708,US Airways,,shoobe01,,0,"@usairways If I could/wanted to call I wouldn't use the internet to make a reservation.

Site won't work on Chrome, on several computers.",,2015-02-17 11:10:38 -0800,"Mission, Kansas",
4323,567594579310825473,negative,1.0,Bad Flight,0.6707,United,,brenduch,,0,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion",,2015-02-17 00:01:07 -0800,,Buenos Aires
2438,569208067243401217,neutral,1.0,,,United,,jimccooper,,0,@united I was able to get a seat on earlier flight sfo to ind.  Can you add me to 6pm ord to IND?,,2015-02-21 10:52:33 -0800,,Eastern Time (US & Canada)
5262,569226157901684736,neutral,0.6917,,0.0,Southwest,,YahooSchwab,,0,@SouthwestAir I actually could use a slight tweak to my return - not leaving here now til Monday -any way I can skip calling for that?,,2015-02-21 12:04:26 -0800,Denver,Mountain Time (US & Canada)
720,570129828969459712,negative,1.0,Cancelled Flight,0.6829,United,,lindaSWC,,0,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...,,2015-02-23 23:55:18 -0800,,
